,date,month,hour,2018_values,2019_values,2020_values,2021_values,2022_values,2023_values
72,04,01,00,1325.88,1325.09,1263.82,1454.76,1297.92,1336.1
73,04,01,01,1277.17,1279.73,1208.17,1391.85,1274.37,1337.02
74,04,01,02,1289.01,1297.14,1188.49,1421.52,1284.52,1307.72
75,04,01,03,1310.21,1311.7,1207.64,1444.21,1307.63,1295.33
76,04,01,04,1433.78,1423.61,1232.95,1470.0,1397.72,1346.67
77,04,01,05,1659.33,1634.74,1294.33,1585.92,1596.89,1551.81
78,04,01,06,1865.51,1889.45,1385.97,1857.2,1833.94,1770.6
79,04,01,07,1962.99,1974.54,1510.17,1971.06,1979.24,1866.47
80,04,01,08,1975.89,1998.73,1660.18,2019.42,2011.46,1886.35
81,04,01,09,2001.52,2018.94,1740.29,2019.58,2026.28,1934.5
82,04,01,10,2016.93,2000.52,1688.2,2016.81,2047.85,1929.15
83,04,01,11,2007.64,1967.15,1654.43,1987.13,2053.62,1907.55
84,04,01,12,1997.76,1929.03,1644.11,1967.28,2038.63,1875.28
85,04,01,13,1977.83,1884.36,1643.96,1940.76,2042.31,1851.61
86,04,01,14,1985.4,1904.45,1671.11,1950.06,2008.61,1845.73
87,04,01,15,2110.74,2030.57,1804.52,2066.86,2101.47,1902.58
88,04,01,16,2289.46,2156.63,1962.65,2240.96,2243.34,1991.28
89,04,01,17,2220.38,2105.78,1936.27,2191.4,2174.65,1923.61
90,04,01,18,2068.88,1941.82,1822.79,2016.14,2048.08,1794.33
91,04,01,19,1922.07,1782.82,1701.85,1851.47,1924.12,1667.07
92,04,01,20,1788.0,1652.46,1604.24,1730.42,1787.51,1574.13
93,04,01,21,1627.86,1534.62,1523.47,1600.22,1673.3,1473.81
94,04,01,22,1503.66,1439.74,1435.79,1472.11,1547.73,1410.06
95,04,01,23,1423.17,1342.73,1366.52,1428.85,1496.26,1359.76
96,05,01,00,1356.64,1274.39,1301.19,1403.8,1459.08,1319.43
97,05,01,01,1337.28,1225.24,1249.16,1394.52,1451.58,1303.05
98,05,01,02,1314.68,1218.06,1229.24,1393.72,1448.28,1295.54
99,05,01,03,1333.79,1206.88,1238.24,1431.41,1465.98,1297.11
100,05,01,04,1428.43,1228.78,1269.32,1475.31,1512.21,1372.11
101,05,01,05,1665.27,1298.45,1306.71,1655.74,1692.18,1552.46
102,05,01,06,1903.63,1417.09,1392.9,1882.86,1950.09,1757.53
103,05,01,07,2020.72,1538.35,1500.07,1989.93,2048.62,1844.79
104,05,01,08,2056.65,1631.7,1605.49,1998.34,2077.82,1880.62
105,05,01,09,2081.83,1694.1,1683.43,2026.73,2074.85,1912.12
106,05,01,10,2057.06,1713.6,1704.8,2051.43,2061.22,1921.61
107,05,01,11,2035.52,1698.29,1710.04,2032.37,2077.93,1925.4
108,05,01,12,2005.5,1672.57,1686.73,2008.22,2106.79,1926.88
109,05,01,13,1968.93,1664.13,1691.83,1994.93,2114.84,1912.88
110,05,01,14,1953.07,1692.98,1733.53,1978.37,2093.55,1894.54
