,date,month,hour,2018_values,2019_values,2020_values,2021_values,2022_values,2023_values
0,01,01,00,1741.92,1837.71,1892.6,2042.82,1339.8,2122.85
1,01,01,01,1657.52,1778.86,1830.97,1966.48,1283.86,2127.72
2,01,01,02,1594.26,1726.38,1782.09,1915.5,1243.84,2026.24
3,01,01,03,1535.88,1709.62,1745.69,1892.5,1229.96,1985.67
4,01,01,04,1505.07,1716.39,1781.79,1903.26,1200.01,1974.77
5,01,01,05,1577.66,1765.16,1860.62,1956.79,1239.15,1989.65
6,01,01,06,1639.53,1819.6,1904.66,2009.82,1273.19,1981.29
7,01,01,07,1696.04,1883.09,1967.11,2080.81,1303.34,2090.27
8,01,01,08,1885.77,1943.14,2052.73,2150.22,1367.56,2198.87
9,01,01,09,1986.64,2042.52,2160.27,2266.62,1454.03,2312.72
10,01,01,10,2050.25,2101.28,2217.41,2331.51,1498.86,2324.5
11,01,01,11,2095.13,2150.81,2255.51,2353.69,1540.59,2343.64
12,01,01,12,2038.83,2174.23,2210.14,2334.16,1567.76,2369.14
13,01,01,13,2133.37,2189.14,2165.08,2342.38,1565.29,2380.53
14,01,01,14,2117.55,2134.93,2224.88,2372.17,1610.46,2313.23
15,01,01,15,2234.05,2413.6,2379.77,2500.39,1708.24,2444.17
16,01,01,16,2444.58,2512.13,2575.07,2691.02,1804.88,2605.75
17,01,01,17,2397.28,2525.69,2497.44,2668.62,1787.78,2490.19
18,01,01,18,2243.29,2411.7,2345.3,2524.1,1696.42,2320.28
19,01,01,19,2097.71,2300.07,2224.19,2369.49,1611.07,2244.99
20,01,01,20,1968.75,2145.01,2102.78,2269.97,1535.71,2134.31
21,01,01,21,1853.88,2012.26,1956.38,2140.01,1448.43,2051.69
22,01,01,22,1729.21,1854.04,1874.64,2011.8,1369.34,1991.74
23,01,01,23,1644.11,1747.56,1820.92,1942.02,1302.23,1870.34
24,02,01,00,1622.64,1693.84,1760.43,1886.97,1240.31,1831.92
25,02,01,01,1601.76,1657.63,1761.41,1867.91,1228.9,1835.51
26,02,01,02,1613.53,1672.75,1785.46,1863.57,1186.4,1858.46
27,02,01,03,1661.01,1739.06,1810.32,1881.83,1186.27,1876.52
28,02,01,04,1756.22,1853.39,1934.15,1938.39,1206.0,2012.93
29,02,01,05,2093.95,2207.44,2229.92,2038.55,1270.92,2293.42
30,02,01,06,2484.19,2532.5,2609.8,2167.88,1337.94,2598.64
31,02,01,07,2730.52,2736.0,2823.91,2316.46,1435.63,2750.46
32,02,01,08,2787.43,2797.13,2919.53,2454.19,1531.51,2813.16
33,02,01,09,2827.55,2763.3,2985.62,2536.93,1635.02,2890.12
34,02,01,10,2788.26,2769.56,2980.93,2561.59,1671.62,2922.01
35,02,01,11,2709.95,2655.95,2941.37,2552.04,1698.1,2859.15
36,02,01,12,2722.12,2664.64,2877.38,2528.26,1701.35,2862.7
37,02,01,13,2724.47,2619.98,2944.75,2509.7,1701.47,2821.56
