TotalLoad,year,month,date,hour
2042.819946,2021,01,01,00
1966.47998,2021,01,01,01
1915.5,2021,01,01,02
1892.5,2021,01,01,03
1903.26001,2021,01,01,04
1956.790039,2021,01,01,05
2009.819946,2021,01,01,06
2080.810059,2021,01,01,07
2150.219971,2021,01,01,08
2266.620117,2021,01,01,09
2331.51001,2021,01,01,10
2353.689941,2021,01,01,11
2334.159912,2021,01,01,12
2342.379883,2021,01,01,13
2372.169922,2021,01,01,14
2500.389893,2021,01,01,15
2691.02002,2021,01,01,16
2668.620117,2021,01,01,17
2524.100098,2021,01,01,18
2369.48999,2021,01,01,19
2269.969971,2021,01,01,20
2140.01001,2021,01,01,21
2011.800049,2021,01,01,22
1942.02002,2021,01,01,23
1886.969971,2021,01,02,00
1867.910034,2021,01,02,01
1863.569946,2021,01,02,02
1881.829956,2021,01,02,03
1938.390015,2021,01,02,04
2038.550049,2021,01,02,05
2167.879883,2021,01,02,06
2316.459961,2021,01,02,07
2454.189941,2021,01,02,08
2536.929932,2021,01,02,09
2561.590088,2021,01,02,10
2552.040039,2021,01,02,11
2528.26001,2021,01,02,12
2509.699951,2021,01,02,13
2506.129883,2021,01,02,14
2699.469971,2021,01,02,15
2943.820068,2021,01,02,16
2876.840088,2021,01,02,17
2654.939941,2021,01,02,18
2485.939941,2021,01,02,19
2339.929932,2021,01,02,20
2217.0,2021,01,02,21
2088.469971,2021,01,02,22
1995.160034,2021,01,02,23
1934.069946,2021,01,03,00
1890.329956,2021,01,03,01
1970.849976,2021,01,03,02
2001.0,2021,01,03,03
2059.22998,2021,01,03,04
2143.149902,2021,01,03,05
2323.830078,2021,01,03,06
2483.590088,2021,01,03,07
2591.080078,2021,01,03,08
2672.389893,2021,01,03,09
2705.719971,2021,01,03,10
2723.76001,2021,01,03,11
2690.649902,2021,01,03,12
2709.669922,2021,01,03,13
2729.570068,2021,01,03,14
2888.110107,2021,01,03,15
3134.179932,2021,01,03,16
3000.719971,2021,01,03,17
2836.600098,2021,01,03,18
2706.540039,2021,01,03,19
2580.449951,2021,01,03,20
2406.209961,2021,01,03,21
2253.899902,2021,01,03,22
2215.590088,2021,01,03,23
2215.040039,2021,01,04,00
2127.350098,2021,01,04,01
2181.040039,2021,01,04,02
2252.280029,2021,01,04,03
2405.840088,2021,01,04,04
2785.52002,2021,01,04,05
3217.790039,2021,01,04,06
3311.719971,2021,01,04,07
3368.100098,2021,01,04,08
3372.080078,2021,01,04,09
3482.790039,2021,01,04,10
3390.379883,2021,01,04,11
3386.840088,2021,01,04,12
3335.790039,2021,01,04,13
3228.560059,2021,01,04,14
3298.600098,2021,01,04,15
3533.439941,2021,01,04,16
3320.060059,2021,01,04,17
3217.22998,2021,01,04,18
3052.459961,2021,01,04,19
2878.399902,2021,01,04,20
2729.570068,2021,01,04,21
2535.929932,2021,01,04,22
2363.199951,2021,01,04,23
2276.050049,2021,01,05,00
2241.290039,2021,01,05,01
2241.090088,2021,01,05,02
2307.52002,2021,01,05,03
2459.27002,2021,01,05,04
2767.02002,2021,01,05,05
3174.860107,2021,01,05,06
3359.060059,2021,01,05,07
3389.5,2021,01,05,08
3399.419922,2021,01,05,09
3382.550049,2021,01,05,10
3286.300049,2021,01,05,11
3285.120117,2021,01,05,12
3241.810059,2021,01,05,13
3159.040039,2021,01,05,14
3225.47998,2021,01,05,15
3468.949951,2021,01,05,16
3299.679932,2021,01,05,17
3073.98999,2021,01,05,18
2895.800049,2021,01,05,19
2755.050049,2021,01,05,20
2615.47998,2021,01,05,21
2507.909912,2021,01,05,22
2308.860107,2021,01,05,23
2228.889893,2021,01,06,00
2214.649902,2021,01,06,01
2198.179932,2021,01,06,02
2246.48999,2021,01,06,03
2369.409912,2021,01,06,04
2702.909912,2021,01,06,05
3158.370117,2021,01,06,06
3342.469971,2021,01,06,07
3325.090088,2021,01,06,08
3380.209961,2021,01,06,09
3401.320068,2021,01,06,10
3340.909912,2021,01,06,11
3335.110107,2021,01,06,12
3287.810059,2021,01,06,13
3212.48999,2021,01,06,14
3322.840088,2021,01,06,15
3461.600098,2021,01,06,16
3298.110107,2021,01,06,17
3081.97998,2021,01,06,18
2910.469971,2021,01,06,19
2779.27002,2021,01,06,20
2638.179932,2021,01,06,21
2449.790039,2021,01,06,22
2320.649902,2021,01,06,23
2262.320068,2021,01,07,00
2240.929932,2021,01,07,01
2245.23999,2021,01,07,02
2298.449951,2021,01,07,03
2418.169922,2021,01,07,04
2735.110107,2021,01,07,05
3141.120117,2021,01,07,06
3296.860107,2021,01,07,07
3256.199951,2021,01,07,08
3309.810059,2021,01,07,09
3315.949951,2021,01,07,10
3280.070068,2021,01,07,11
3247.639893,2021,01,07,12
