TotalLoad,year,month,date,hour
1363.040039,2021,01,01,00
1309.829956,2021,01,01,01
1260.209961,2021,01,01,02
1231.280029,2021,01,01,03
1234.170044,2021,01,01,04
1266.140015,2021,01,01,05
1308.98999,2021,01,01,06
1351.140015,2021,01,01,07
1408.900024,2021,01,01,08
1505.949951,2021,01,01,09
1567.540039,2021,01,01,10
1605.160034,2021,01,01,11
1613.359985,2021,01,01,12
1615.280029,2021,01,01,13
1648.23999,2021,01,01,14
1733.390015,2021,01,01,15
1826.01001,2021,01,01,16
1810.449951,2021,01,01,17
1728.459961,2021,01,01,18
1630.73999,2021,01,01,19
1538.579956,2021,01,01,20
1460.359985,2021,01,01,21
1368.530029,2021,01,01,22
1286.800049,2021,01,01,23
1216.540039,2021,01,02,00
1194.47998,2021,01,02,01
1184.73999,2021,01,02,02
1191.48999,2021,01,02,03
1215.920044,2021,01,02,04
1276.849976,2021,01,02,05
1359.050049,2021,01,02,06
1460.660034,2021,01,02,07
1573.130005,2021,01,02,08
1669.380005,2021,01,02,09
1710.27002,2021,01,02,10
1717.150024,2021,01,02,11
1707.079956,2021,01,02,12
1705.77002,2021,01,02,13
1721.72998,2021,01,02,14
1852.849976,2021,01,02,15
2025.060059,2021,01,02,16
2014.869995,2021,01,02,17
1856.380005,2021,01,02,18
1724.040039,2021,01,02,19
1618.800049,2021,01,02,20
1520.430054,2021,01,02,21
1434.310059,2021,01,02,22
1391.130005,2021,01,02,23
1316.140015,2021,01,03,00
1274.599976,2021,01,03,01
1273.880005,2021,01,03,02
1295.75,2021,01,03,03
1363.869995,2021,01,03,04
1415.219971,2021,01,03,05
1491.319946,2021,01,03,06
1545.73999,2021,01,03,07
1639.52002,2021,01,03,08
1669.630005,2021,01,03,09
1712.51001,2021,01,03,10
1717.890015,2021,01,03,11
1699.77002,2021,01,03,12
1697.300049,2021,01,03,13
1735.630005,2021,01,03,14
1886.800049,2021,01,03,15
2080.97998,2021,01,03,16
2016.22998,2021,01,03,17
1868.47998,2021,01,03,18
1815.140015,2021,01,03,19
1637.140015,2021,01,03,20
1522.780029,2021,01,03,21
1515.52002,2021,01,03,22
1459.069946,2021,01,03,23
1454.76001,2021,01,04,00
1391.849976,2021,01,04,01
1421.52002,2021,01,04,02
1444.209961,2021,01,04,03
1470.0,2021,01,04,04
1585.920044,2021,01,04,05
1857.199951,2021,01,04,06
1971.060059,2021,01,04,07
2019.420044,2021,01,04,08
2019.579956,2021,01,04,09
2016.810059,2021,01,04,10
1987.130005,2021,01,04,11
1967.280029,2021,01,04,12
1940.76001,2021,01,04,13
