TotalLoad,year,month,date,hour
2092.219971,2022,01,08,17
1949.449951,2022,01,08,18
1836.209961,2022,01,08,19
1728.969971,2022,01,08,20
1654.189941,2022,01,08,21
1585.22998,2022,01,08,22
1556.699951,2022,01,08,23
1517.98999,2022,01,09,00
1483.540039,2022,01,09,01
1464.469971,2022,01,09,02
1440.670044,2022,01,09,03
1468.310059,2022,01,09,04
1520.5,2022,01,09,05
1571.869995,2022,01,09,06
1662.599976,2022,01,09,07
1759.079956,2022,01,09,08
1864.890015,2022,01,09,09
1898.930054,2022,01,09,10
1894.300049,2022,01,09,11
1882.72998,2022,01,09,12
1867.5,2022,01,09,13
1897.060059,2022,01,09,14
1996.459961,2022,01,09,15
2138.919922,2022,01,09,16
2090.429932,2022,01,09,17
1972.02002,2022,01,09,18
1863.920044,2022,01,09,19
1743.550049,2022,01,09,20
1636.800049,2022,01,09,21
1525.77002,2022,01,09,22
1436.26001,2022,01,09,23
1385.22998,2022,01,10,00
1352.680054,2022,01,10,01
1335.939941,2022,01,10,02
1373.410034,2022,01,10,03
1484.199951,2022,01,10,04
1729.689941,2022,01,10,05
1971.959961,2022,01,10,06
2074.030029,2022,01,10,07
2078.300049,2022,01,10,08
2077.51001,2022,01,10,09
2073.840088,2022,01,10,10
2036.959961,2022,01,10,11
2034.800049,2022,01,10,12
2014.23999,2022,01,10,13
2000.23999,2022,01,10,14
2116.600098,2022,01,10,15
2263.98999,2022,01,10,16
2217.860107,2022,01,10,17
2085.530029,2022,01,10,18
1973.52002,2022,01,10,19
1859.060059,2022,01,10,20
1731.439941,2022,01,10,21
1615.619995,2022,01,10,22
1529.949951,2022,01,10,23
1471.949951,2022,01,11,00
1451.060059,2022,01,11,01
1446.119995,2022,01,11,02
1463.390015,2022,01,11,03
1560.910034,2022,01,11,04
1800.939941,2022,01,11,05
2040.73999,2022,01,11,06
2130.840088,2022,01,11,07
2133.02002,2022,01,11,08
2153.610107,2022,01,11,09
2141.699951,2022,01,11,10
2119.280029,2022,01,11,11
2088.340088,2022,01,11,12
2091.409912,2022,01,11,13
2080.659912,2022,01,11,14
2177.47998,2022,01,11,15
2296.350098,2022,01,11,16
2231.860107,2022,01,11,17
2075.659912,2022,01,11,18
1942.290039,2022,01,11,19
1823.73999,2022,01,11,20
1707.849976,2022,01,11,21
1582.26001,2022,01,11,22
1490.369995,2022,01,11,23
1433.420044,2022,01,12,00
1396.819946,2022,01,12,01
1383.630005,2022,01,12,02
1396.97998,2022,01,12,03
