,hour,date,month,covariance,value
0,15.0,2.0,1.0,0.9360070710439434,1.06
1,16.0,2.0,1.0,0.981873390742526,0.8
2,11.0,3.0,1.0,0.7059143953837169,19.26
3,14.0,3.0,1.0,0.7133417757959211,17.16
4,15.0,3.0,1.0,0.7401326000869628,16.98
5,16.0,3.0,1.0,0.7274311916553414,13.280000000000001
6,20.0,3.0,1.0,0.7015253173158259,1.1400000000000001
7,21.0,3.0,1.0,0.7571288295703681,1.1400000000000001
8,5.0,6.0,1.0,0.7473029680375646,0.34
9,6.0,6.0,1.0,0.7600789173598855,0.30000000000000004
10,7.0,6.0,1.0,0.7817263614477206,0.54
11,8.0,6.0,1.0,0.7270311834887158,0.6000000000000001
12,9.0,6.0,1.0,0.7393089024947577,0.68
13,10.0,6.0,1.0,0.7456564164742547,0.7200000000000001
14,11.0,6.0,1.0,0.7299104858972348,0.66
15,6.0,20.0,1.0,0.8962912707343451,20.26
16,7.0,20.0,1.0,0.8852831615529128,20.1
17,8.0,20.0,1.0,0.859719234512649,20.180000000000003
18,9.0,20.0,1.0,0.8074856012407934,21.040000000000003
19,10.0,20.0,1.0,0.7226263032004482,20.1
20,21.0,21.0,1.0,0.7658576338318391,0.36000000000000004
21,22.0,21.0,1.0,0.813600131944382,1.04
22,23.0,21.0,1.0,0.8001526341688465,1.1
23,0.0,22.0,1.0,0.8055902689619088,0.38
24,1.0,22.0,1.0,0.8201480682175541,0.6000000000000001
25,2.0,22.0,1.0,0.7907114971692104,0.52
26,3.0,22.0,1.0,0.7504084466864366,0.66
27,22.0,22.0,1.0,0.742807733966862,0.42000000000000004
28,23.0,22.0,1.0,0.7479835406904918,0.48
29,0.0,27.0,1.0,0.7522120586148289,0.82
30,1.0,27.0,1.0,0.7267331157032924,0.54
31,4.0,27.0,1.0,0.8881773074276503,20.200000000000003
32,5.0,27.0,1.0,0.9360574487892552,20.32
33,6.0,27.0,1.0,0.9075906665226258,19.94
34,7.0,27.0,1.0,0.8800734223570061,20.64
35,8.0,27.0,1.0,0.8651552835437997,21.64
36,9.0,27.0,1.0,0.8003133082534721,21.340000000000003
37,10.0,27.0,1.0,0.7075075104397732,20.8
38,18.0,27.0,1.0,0.7432035085177362,20.72
39,19.0,27.0,1.0,0.753025925859564,19.3
40,20.0,27.0,1.0,0.8819457884637635,19.06
41,21.0,27.0,1.0,0.8431478975140216,19.540000000000003
42,22.0,27.0,1.0,0.8335522901497949,19.64
43,23.0,27.0,1.0,0.7694388613242589,17.72
44,0.0,28.0,1.0,0.7296340426070416,0.82
45,1.0,28.0,1.0,0.7521155092690164,0.6200000000000001
46,2.0,28.0,1.0,0.7756830321684423,1.0
47,3.0,28.0,1.0,0.8522020769504384,0.7000000000000001
48,4.0,28.0,1.0,0.8096599007058909,0.4
49,7.0,29.0,1.0,0.7155306296471149,0.9
50,7.0,20.0,2.0,0.7047835281848457,3.18
51,6.0,23.0,6.0,0.8561353070918339,16.14
52,9.0,23.0,6.0,0.8471075678957499,16.7
53,10.0,23.0,6.0,0.8044297530518535,17.14
54,11.0,23.0,6.0,0.818875800034224,16.680000000000003
55,12.0,23.0,6.0,0.8110035263874806,16.8
56,13.0,23.0,6.0,0.8041207989544988,15.780000000000001
57,11.0,31.0,8.0,0.7687357221844453,15.440000000000001
