,hour,date,month,covariance
0,15.0,2.0,1.0,0.9360070710439434
1,16.0,2.0,1.0,0.981873390742526
2,11.0,3.0,1.0,0.7059143953837169
3,14.0,3.0,1.0,0.7133417757959211
4,15.0,3.0,1.0,0.7401326000869628
5,16.0,3.0,1.0,0.7274311916553414
6,20.0,3.0,1.0,0.7015253173158259
7,21.0,3.0,1.0,0.7571288295703681
8,5.0,6.0,1.0,0.7473029680375646
9,6.0,6.0,1.0,0.7600789173598855
10,7.0,6.0,1.0,0.7817263614477206
11,8.0,6.0,1.0,0.7270311834887158
12,9.0,6.0,1.0,0.7393089024947577
13,10.0,6.0,1.0,0.7456564164742547
14,11.0,6.0,1.0,0.7299104858972348
15,6.0,20.0,1.0,0.8962912707343451
16,7.0,20.0,1.0,0.8852831615529128
17,8.0,20.0,1.0,0.859719234512649
18,9.0,20.0,1.0,0.8074856012407934
19,10.0,20.0,1.0,0.7226263032004482
20,21.0,21.0,1.0,0.7658576338318391
21,22.0,21.0,1.0,0.813600131944382
22,23.0,21.0,1.0,0.8001526341688465
23,0.0,22.0,1.0,0.8055902689619088
24,1.0,22.0,1.0,0.8201480682175541
25,2.0,22.0,1.0,0.7907114971692104
26,3.0,22.0,1.0,0.7504084466864366
27,22.0,22.0,1.0,0.742807733966862
28,23.0,22.0,1.0,0.7479835406904918
29,0.0,27.0,1.0,0.7522120586148289
30,1.0,27.0,1.0,0.7267331157032924
31,4.0,27.0,1.0,0.8881773074276503
32,5.0,27.0,1.0,0.9360574487892552
33,6.0,27.0,1.0,0.9075906665226258
34,7.0,27.0,1.0,0.8800734223570061
35,8.0,27.0,1.0,0.8651552835437997
36,9.0,27.0,1.0,0.8003133082534721
37,10.0,27.0,1.0,0.7075075104397732
38,18.0,27.0,1.0,0.7432035085177362
39,19.0,27.0,1.0,0.753025925859564
40,20.0,27.0,1.0,0.8819457884637635
41,21.0,27.0,1.0,0.8431478975140216
42,22.0,27.0,1.0,0.8335522901497949
43,23.0,27.0,1.0,0.7694388613242589
44,0.0,28.0,1.0,0.7296340426070416
45,1.0,28.0,1.0,0.7521155092690164
46,2.0,28.0,1.0,0.7756830321684423
47,3.0,28.0,1.0,0.8522020769504384
48,4.0,28.0,1.0,0.8096599007058909
49,7.0,29.0,1.0,0.7155306296471149
50,7.0,20.0,2.0,0.7047835281848457
51,6.0,23.0,6.0,0.8561353070918339
52,9.0,23.0,6.0,0.8471075678957499
53,10.0,23.0,6.0,0.8044297530518535
54,11.0,23.0,6.0,0.818875800034224
55,12.0,23.0,6.0,0.8110035263874806
56,13.0,23.0,6.0,0.8041207989544988
57,11.0,31.0,8.0,0.7687357221844453
