,Unnamed: 0,values,date,month,year,hour
0,0,3.684,1,1,2021.0,0
1,1,2.578,1,1,2021.0,1
2,2,3.748,1,1,2021.0,2
3,3,1.954,1,1,2021.0,3
4,4,3.262,1,1,2021.0,4
5,5,1.94,1,1,2021.0,5
6,6,3.996,1,1,2021.0,6
7,7,1.934,1,1,2021.0,7
8,8,10.552,1,1,2021.0,8
9,9,10.402,1,1,2021.0,9
10,10,1.214,1,1,2021.0,10
11,11,3.238,1,1,2021.0,11
12,12,1.216,1,1,2021.0,12
13,13,3.048,1,1,2021.0,13
14,14,1.166,1,1,2021.0,14
15,15,2.672,1,1,2021.0,15
16,16,2.326,1,1,2021.0,16
17,17,10.758,1,1,2021.0,17
18,18,9.7,1,1,2021.0,18
19,19,5.43,1,1,2021.0,19
20,20,2.266,1,1,2021.0,20
21,21,3.76,1,1,2021.0,21
22,22,2.51,1,1,2021.0,22
23,23,3.764,1,1,2021.0,23
24,24,2.328,2,1,2021.0,0
25,25,3.556,2,1,2021.0,1
26,26,3.372,2,1,2021.0,2
27,27,2.244,2,1,2021.0,3
28,28,3.44,2,1,2021.0,4
29,29,2.98,2,1,2021.0,5
30,30,3.124,2,1,2021.0,6
31,31,2.762,2,1,2021.0,7
32,32,11.354,2,1,2021.0,8
33,33,10.504,2,1,2021.0,9
34,34,4.526,2,1,2021.0,10
35,35,5.676,2,1,2021.0,11
36,36,6.452,2,1,2021.0,12
37,37,6.866,2,1,2021.0,13
38,38,7.268,2,1,2021.0,14
39,39,5.646,2,1,2021.0,15
40,40,5.64,2,1,2021.0,16
41,41,11.302,2,1,2021.0,17
42,42,14.86,2,1,2021.0,18
43,43,9.62,2,1,2021.0,19
44,44,2.452,2,1,2021.0,20
45,45,4.154,2,1,2021.0,21
46,46,3.02,2,1,2021.0,22
47,47,3.57,2,1,2021.0,23
48,48,4.146,3,1,2021.0,0
49,49,4.224,3,1,2021.0,1
50,50,3.614,3,1,2021.0,2
51,51,3.88,3,1,2021.0,3
52,52,2.994,3,1,2021.0,4
53,53,4.166,3,1,2021.0,5
54,54,2.36,3,1,2021.0,6
55,55,3.808,3,1,2021.0,7
56,56,10.558,3,1,2021.0,8
57,57,12.126,3,1,2021.0,9
58,58,3.734,3,1,2021.0,10
59,59,5.802,3,1,2021.0,11
60,60,5.988,3,1,2021.0,12
61,61,4.474,3,1,2021.0,13
62,62,7.214,3,1,2021.0,14
63,63,5.138,3,1,2021.0,15
64,64,5.442,3,1,2021.0,16
65,65,14.856,3,1,2021.0,17
66,66,11.474,3,1,2021.0,18
67,67,6.378,3,1,2021.0,19
68,68,4.856,3,1,2021.0,20
69,69,1.93,3,1,2021.0,21
70,70,3.972,3,1,2021.0,22
71,71,1.954,3,1,2021.0,23
72,72,3.786,4,1,2021.0,0
73,73,3.422,4,1,2021.0,1
74,74,2.08,4,1,2021.0,2
75,75,3.872,4,1,2021.0,3
76,76,2.712,4,1,2021.0,4
77,77,3.076,4,1,2021.0,5
78,78,3.62,4,1,2021.0,6
79,79,4.032,4,1,2021.0,7
80,80,10.57,4,1,2021.0,8
81,81,12.792,4,1,2021.0,9
82,82,3.872,4,1,2021.0,10
83,83,3.796,4,1,2021.0,11
84,84,5.01,4,1,2021.0,12
85,85,4.12,4,1,2021.0,13
86,86,3.684,4,1,2021.0,14
87,87,5.25,4,1,2021.0,15
88,88,4.478,4,1,2021.0,16
89,89,14.01,4,1,2021.0,17
90,90,13.804,4,1,2021.0,18
91,91,5.86,4,1,2021.0,19
92,92,3.432,4,1,2021.0,20
93,93,4.258,4,1,2021.0,21
94,94,2.846,4,1,2021.0,22
95,95,3.938,4,1,2021.0,23
96,96,3.36,5,1,2021.0,0
97,97,3.002,5,1,2021.0,1
98,98,3.91,5,1,2021.0,2
99,99,2.334,5,1,2021.0,3
100,100,4.262,5,1,2021.0,4
101,101,1.94,5,1,2021.0,5
102,102,4.222,5,1,2021.0,6
103,103,2.332,5,1,2021.0,7
104,104,10.706,5,1,2021.0,8
105,105,12.028,5,1,2021.0,9
106,106,4.648,5,1,2021.0,10
107,107,3.904,5,1,2021.0,11
108,108,4.052,5,1,2021.0,12
109,109,5.56,5,1,2021.0,13
110,110,7.156,5,1,2021.0,14
111,111,6.614,5,1,2021.0,15
112,112,4.178,5,1,2021.0,16
113,113,9.992,5,1,2021.0,17
114,114,12.96,5,1,2021.0,18
115,115,6.66,5,1,2021.0,19
116,116,4.356,5,1,2021.0,20
117,117,2.774,5,1,2021.0,21
118,118,3.272,5,1,2021.0,22
119,119,4.14,5,1,2021.0,23
120,120,2.132,6,1,2021.0,0
121,121,4.674,6,1,2021.0,1
122,122,2.508,6,1,2021.0,2
123,123,3.93,6,1,2021.0,3
124,124,2.192,6,1,2021.0,4
125,125,3.666,6,1,2021.0,5
126,126,3.104,6,1,2021.0,6
127,127,2.808,6,1,2021.0,7
128,128,12.916,6,1,2021.0,8
129,129,14.798,6,1,2021.0,9
130,130,4.476,6,1,2021.0,10
131,131,5.92,6,1,2021.0,11
132,132,3.664,6,1,2021.0,12
133,133,6.136,6,1,2021.0,13
134,134,3.888,6,1,2021.0,14
135,135,4.866,6,1,2021.0,15
136,136,7.352,6,1,2021.0,16
137,137,14.004,6,1,2021.0,17
138,138,13.362,6,1,2021.0,18
139,139,6.136,6,1,2021.0,19
140,140,3.308,6,1,2021.0,20
141,141,3.388,6,1,2021.0,21
142,142,2.572,6,1,2021.0,22
143,143,3.776,6,1,2021.0,23
144,144,2.842,7,1,2021.0,0
145,145,3.514,7,1,2021.0,1
146,146,3.224,7,1,2021.0,2
147,147,2.78,7,1,2021.0,3
148,148,3.652,7,1,2021.0,4
149,149,3.75,7,1,2021.0,5
150,150,2.49,7,1,2021.0,6
151,151,3.334,7,1,2021.0,7
152,152,10.198,7,1,2021.0,8
153,153,12.752,7,1,2021.0,9
154,154,5.458,7,1,2021.0,10
155,155,7.202,7,1,2021.0,11
156,156,7.65,7,1,2021.0,12
157,157,7.224,7,1,2021.0,13
158,158,5.026,7,1,2021.0,14
159,159,6.526,7,1,2021.0,15
160,160,6.13,7,1,2021.0,16
161,161,12.604,7,1,2021.0,17
162,162,15.354,7,1,2021.0,18
163,163,8.482,7,1,2021.0,19
164,164,3.528,7,1,2021.0,20
165,165,2.004,7,1,2021.0,21
166,166,3.262,7,1,2021.0,22
167,167,2.564,7,1,2021.0,23
168,168,3.348,8,1,2021.0,0
169,169,1.932,8,1,2021.0,1
170,170,3.834,8,1,2021.0,2
171,171,1.908,8,1,2021.0,3
172,172,3.664,8,1,2021.0,4
173,173,2.482,8,1,2021.0,5
174,174,3.21,8,1,2021.0,6
175,175,2.934,8,1,2021.0,7
176,176,12.752,8,1,2021.0,8
177,177,8.606,8,1,2021.0,9
178,178,4.254,8,1,2021.0,10
179,179,2.458,8,1,2021.0,11
180,180,4.724,8,1,2021.0,12
181,181,2.64,8,1,2021.0,13
182,182,5.304,8,1,2021.0,14
183,183,2.956,8,1,2021.0,15
184,184,5.618,8,1,2021.0,16
185,185,10.618,8,1,2021.0,17
186,186,12.228,8,1,2021.0,18
187,187,5.582,8,1,2021.0,19
188,188,3.506,8,1,2021.0,20
189,189,2.506,8,1,2021.0,21
190,190,3.63,8,1,2021.0,22
191,191,2.61,8,1,2021.0,23
192,192,3.894,9,1,2021.0,0
193,193,2.546,9,1,2021.0,1
194,194,3.114,9,1,2021.0,2
195,195,3.188,9,1,2021.0,3
196,196,2.506,9,1,2021.0,4
197,197,3.872,9,1,2021.0,5
198,198,1.96,9,1,2021.0,6
199,199,3.272,9,1,2021.0,7
200,200,11.484,9,1,2021.0,8
201,201,10.276,9,1,2021.0,9
202,202,4.69,9,1,2021.0,10
203,203,4.896,9,1,2021.0,11
204,204,4.794,9,1,2021.0,12
205,205,4.74,9,1,2021.0,13
206,206,5.57,9,1,2021.0,14
207,207,4.288,9,1,2021.0,15
208,208,5.876,9,1,2021.0,16
209,209,13.038,9,1,2021.0,17
210,210,11.594,9,1,2021.0,18
211,211,5.428,9,1,2021.0,19
212,212,4.228,9,1,2021.0,20
213,213,2.558,9,1,2021.0,21
214,214,4.462,9,1,2021.0,22
215,215,2.14,9,1,2021.0,23
216,216,4.448,10,1,2021.0,0
217,217,2.37,10,1,2021.0,1
218,218,4.13,10,1,2021.0,2
219,219,2.038,10,1,2021.0,3
220,220,3.974,10,1,2021.0,4
221,221,1.986,10,1,2021.0,5
222,222,3.702,10,1,2021.0,6
223,223,3.594,10,1,2021.0,7
224,224,15.868,10,1,2021.0,8
225,225,12.516,10,1,2021.0,9
226,226,4.214,10,1,2021.0,10
227,227,3.638,10,1,2021.0,11
228,228,5.896,10,1,2021.0,12
229,229,3.536,10,1,2021.0,13
230,230,6.426,10,1,2021.0,14
231,231,3.85,10,1,2021.0,15
232,232,4.644,10,1,2021.0,16
233,233,8.824,10,1,2021.0,17
234,234,13.41,10,1,2021.0,18
235,235,6.688,10,1,2021.0,19
236,236,1.984,10,1,2021.0,20
237,237,3.578,10,1,2021.0,21
238,238,3.49,10,1,2021.0,22
239,239,2.944,10,1,2021.0,23
240,240,4.126,11,1,2021.0,0
241,241,2.524,11,1,2021.0,1
242,242,4.148,11,1,2021.0,2
243,243,2.862,11,1,2021.0,3
244,244,3.02,11,1,2021.0,4
245,245,3.126,11,1,2021.0,5
246,246,3.366,11,1,2021.0,6
247,247,3.204,11,1,2021.0,7
248,248,10.51,11,1,2021.0,8
249,249,11.086,11,1,2021.0,9
250,250,2.862,11,1,2021.0,10
251,251,4.742,11,1,2021.0,11
252,252,3.834,11,1,2021.0,12
253,253,4.074,11,1,2021.0,13
254,254,4.204,11,1,2021.0,14
255,255,4.882,11,1,2021.0,15
256,256,4.536,11,1,2021.0,16
257,257,12.378,11,1,2021.0,17
258,258,15.492,11,1,2021.0,18
259,259,6.644,11,1,2021.0,19
260,260,2.222,11,1,2021.0,20
261,261,3.742,11,1,2021.0,21
262,262,1.968,11,1,2021.0,22
263,263,3.128,11,1,2021.0,23
264,264,1.99,12,1,2021.0,0
265,265,3.6,12,1,2021.0,1
266,266,1.966,12,1,2021.0,2
267,267,3.988,12,1,2021.0,3
268,268,2.012,12,1,2021.0,4
269,269,4.052,12,1,2021.0,5
270,270,2.012,12,1,2021.0,6
271,271,4.076,12,1,2021.0,7
272,272,9.534,12,1,2021.0,8
273,273,12.218,12,1,2021.0,9
274,274,3.012,12,1,2021.0,10
275,275,5.338,12,1,2021.0,11
276,276,5.234,12,1,2021.0,12
277,277,5.798,12,1,2021.0,13
278,278,4.56,12,1,2021.0,14
279,279,3.732,12,1,2021.0,15
280,280,3.35,12,1,2021.0,16
281,281,8.694,12,1,2021.0,17
282,282,12.178,12,1,2021.0,18
283,283,4.394,12,1,2021.0,19
284,284,2.918,12,1,2021.0,20
285,285,3.43,12,1,2021.0,21
286,286,2.956,12,1,2021.0,22
287,287,3.25,12,1,2021.0,23
288,288,2.616,13,1,2021.0,0
289,289,3.878,13,1,2021.0,1
290,290,3.378,13,1,2021.0,2
291,291,2.39,13,1,2021.0,3
292,292,3.38,13,1,2021.0,4
293,293,2.656,13,1,2021.0,5
