,hour,date,month,covariance
0,16.0,1.0,1.0,0.7489647127002833
1,10.0,2.0,1.0,0.7863511130033853
2,11.0,2.0,1.0,0.7857088258275182
3,14.0,2.0,1.0,0.8113859507797268
4,16.0,2.0,1.0,0.9818733907425262
5,17.0,2.0,1.0,0.9138156480023832
6,18.0,2.0,1.0,0.8936217293767796
7,15.0,3.0,1.0,0.7401326000869628
8,16.0,3.0,1.0,0.7274311916553415
9,17.0,3.0,1.0,0.71709279549162
10,18.0,3.0,1.0,0.7141774740018803
11,21.0,3.0,1.0,0.757128829570368
12,8.0,6.0,1.0,0.7270311834887156
13,9.0,6.0,1.0,0.7393089024947578
14,10.0,8.0,1.0,0.8066652373506678
15,11.0,8.0,1.0,0.8156091537882593
16,12.0,8.0,1.0,0.8192472647436481
17,13.0,8.0,1.0,0.8630060136279427
18,14.0,8.0,1.0,0.8758129910126031
19,15.0,8.0,1.0,0.8694381577155906
20,16.0,8.0,1.0,0.8944255581838012
21,17.0,8.0,1.0,0.842544856012549
22,18.0,8.0,1.0,0.8353930484121717
23,11.0,10.0,1.0,0.7035475957865926
24,16.0,15.0,1.0,0.7085070585082627
25,16.0,16.0,1.0,0.8119961277365402
26,8.0,20.0,1.0,0.8597192345126489
27,9.0,20.0,1.0,0.8074856012407933
28,6.0,22.0,1.0,0.7483415026762943
29,17.0,23.0,1.0,0.7147526270676617
30,8.0,27.0,1.0,0.8651552835437992
31,9.0,27.0,1.0,0.8003133082534718
32,7.0,29.0,1.0,0.7155306296471149
33,14.0,30.0,1.0,0.7388753132929922
34,16.0,30.0,1.0,0.8048335847587436
35,9.0,19.0,2.0,0.8018721397261548
36,10.0,19.0,2.0,0.7529645320061451
37,11.0,19.0,2.0,0.7646654222026303
38,12.0,19.0,2.0,0.819769013519756
39,15.0,19.0,2.0,0.7580216738690946
40,16.0,19.0,2.0,0.8455563828591455
41,17.0,19.0,2.0,0.7924995944917603
42,18.0,19.0,2.0,0.7756301962835968
43,5.0,20.0,2.0,0.8187649214885113
44,6.0,20.0,2.0,0.7033289867462234
45,7.0,20.0,2.0,0.7047835281848457
46,14.0,20.0,2.0,0.8509321381303486
47,16.0,20.0,2.0,0.92709311421886
48,17.0,20.0,2.0,0.8487001649239108
49,18.0,20.0,2.0,0.852230377227613
50,16.0,12.0,3.0,0.8789325113749238
51,17.0,12.0,3.0,0.8817636005010905
52,14.0,13.0,3.0,0.7762758735012526
53,16.0,13.0,3.0,0.8848468363084572
54,17.0,13.0,3.0,0.9248760312581435
55,18.0,13.0,3.0,0.8893250660778265
56,17.0,14.0,3.0,0.7009702901528689
57,17.0,18.0,3.0,0.7145669710065639
58,17.0,9.0,8.0,0.764703391695307
