,Unnamed: 0,values,date,month,year,hour
0,0.0,4.428,1.0,1.0,2023.0,0.0
1,1.0,4.22,1.0,1.0,2023.0,1.0
2,2.0,4.084,1.0,1.0,2023.0,2.0
3,3.0,6.18,1.0,1.0,2023.0,3.0
4,4.0,4.3,1.0,1.0,2023.0,4.0
5,5.0,4.152,1.0,1.0,2023.0,5.0
6,6.0,19.092,1.0,1.0,2023.0,6.0
7,7.0,18.404,1.0,1.0,2023.0,7.0
8,8.0,5.528,1.0,1.0,2023.0,8.0
9,9.0,5.928,1.0,1.0,2023.0,9.0
10,10.0,6.616,1.0,1.0,2023.0,10.0
11,11.0,10.0,1.0,1.0,2023.0,11.0
12,12.0,9.232,1.0,1.0,2023.0,12.0
13,13.0,6.016,1.0,1.0,2023.0,13.0
14,14.0,9.012,1.0,1.0,2023.0,14.0
15,15.0,9.148,1.0,1.0,2023.0,15.0
16,16.0,27.212,1.0,1.0,2023.0,16.0
17,17.0,31.684,1.0,1.0,2023.0,17.0
18,18.0,18.88,1.0,1.0,2023.0,18.0
19,19.0,4.364,1.0,1.0,2023.0,19.0
20,20.0,5.964,1.0,1.0,2023.0,20.0
21,21.0,4.068,1.0,1.0,2023.0,21.0
22,22.0,4.32,1.0,1.0,2023.0,22.0
23,23.0,6.012,1.0,1.0,2023.0,23.0
24,24.0,3.976,2.0,1.0,2023.0,0.0
25,25.0,4.184,2.0,1.0,2023.0,1.0
26,26.0,6.5,2.0,1.0,2023.0,2.0
27,27.0,4.196,2.0,1.0,2023.0,3.0
28,28.0,5.112,2.0,1.0,2023.0,4.0
29,29.0,5.232,2.0,1.0,2023.0,5.0
30,30.0,19.572,2.0,1.0,2023.0,6.0
31,31.0,23.872,2.0,1.0,2023.0,7.0
32,32.0,7.936,2.0,1.0,2023.0,8.0
33,33.0,7.78,2.0,1.0,2023.0,9.0
34,34.0,6.052,2.0,1.0,2023.0,10.0
35,35.0,7.888,2.0,1.0,2023.0,11.0
36,36.0,4.724,2.0,1.0,2023.0,12.0
37,37.0,5.148,2.0,1.0,2023.0,13.0
38,38.0,9.92,2.0,1.0,2023.0,14.0
39,39.0,4.94,2.0,1.0,2023.0,15.0
40,40.0,11.976,2.0,1.0,2023.0,16.0
41,41.0,25.192,2.0,1.0,2023.0,17.0
42,42.0,18.548,2.0,1.0,2023.0,18.0
43,43.0,4.364,2.0,1.0,2023.0,19.0
44,44.0,4.532,2.0,1.0,2023.0,20.0
45,45.0,4.356,2.0,1.0,2023.0,21.0
46,46.0,6.104,2.0,1.0,2023.0,22.0
47,47.0,4.372,2.0,1.0,2023.0,23.0
48,48.0,4.516,3.0,1.0,2023.0,0.0
49,49.0,6.136,3.0,1.0,2023.0,1.0
50,50.0,4.1,3.0,1.0,2023.0,2.0
51,51.0,4.156,3.0,1.0,2023.0,3.0
52,52.0,4.384,3.0,1.0,2023.0,4.0
53,53.0,11.416,3.0,1.0,2023.0,5.0
54,54.0,19.188,3.0,1.0,2023.0,6.0
55,55.0,20.228,3.0,1.0,2023.0,7.0
56,56.0,5.996,3.0,1.0,2023.0,8.0
57,57.0,6.712,3.0,1.0,2023.0,9.0
58,58.0,5.496,3.0,1.0,2023.0,10.0
59,59.0,5.224,3.0,1.0,2023.0,11.0
60,60.0,5.912,3.0,1.0,2023.0,12.0
61,61.0,6.428,3.0,1.0,2023.0,13.0
62,62.0,5.032,3.0,1.0,2023.0,14.0
63,63.0,5.796,3.0,1.0,2023.0,15.0
64,64.0,18.916,3.0,1.0,2023.0,16.0
65,65.0,32.516,3.0,1.0,2023.0,17.0
66,66.0,17.512,3.0,1.0,2023.0,18.0
67,67.0,4.484,3.0,1.0,2023.0,19.0
68,68.0,4.448,3.0,1.0,2023.0,20.0
69,69.0,4.56,3.0,1.0,2023.0,21.0
70,70.0,4.512,3.0,1.0,2023.0,22.0
71,71.0,6.432,3.0,1.0,2023.0,23.0
72,72.0,4.74,4.0,1.0,2023.0,0.0
73,73.0,4.328,4.0,1.0,2023.0,1.0
74,74.0,4.34,4.0,1.0,2023.0,2.0
75,75.0,4.22,4.0,1.0,2023.0,3.0
76,76.0,6.104,4.0,1.0,2023.0,4.0
77,77.0,4.452,4.0,1.0,2023.0,5.0
78,78.0,19.628,4.0,1.0,2023.0,6.0
79,79.0,21.8,4.0,1.0,2023.0,7.0
80,80.0,9.204,4.0,1.0,2023.0,8.0
81,81.0,5.776,4.0,1.0,2023.0,9.0
82,82.0,5.64,4.0,1.0,2023.0,10.0
83,83.0,10.588,4.0,1.0,2023.0,11.0
84,84.0,9.232,4.0,1.0,2023.0,12.0
85,85.0,5.188,4.0,1.0,2023.0,13.0
86,86.0,5.904,4.0,1.0,2023.0,14.0
87,87.0,5.884,4.0,1.0,2023.0,15.0
88,88.0,21.188,4.0,1.0,2023.0,16.0
89,89.0,25.356,4.0,1.0,2023.0,17.0
90,90.0,16.74,4.0,1.0,2023.0,18.0
91,91.0,4.236,4.0,1.0,2023.0,19.0
92,92.0,6.44,4.0,1.0,2023.0,20.0
93,93.0,4.572,4.0,1.0,2023.0,21.0
94,94.0,4.476,4.0,1.0,2023.0,22.0
95,95.0,4.24,4.0,1.0,2023.0,23.0
96,96.0,4.248,5.0,1.0,2023.0,0.0
97,97.0,11.668,5.0,1.0,2023.0,1.0
98,98.0,5.296,5.0,1.0,2023.0,2.0
99,99.0,4.316,5.0,1.0,2023.0,3.0
100,100.0,6.616,5.0,1.0,2023.0,4.0
101,101.0,4.648,5.0,1.0,2023.0,5.0
102,102.0,19.388,5.0,1.0,2023.0,6.0
103,103.0,18.076,5.0,1.0,2023.0,7.0
104,104.0,4.944,5.0,1.0,2023.0,8.0
105,105.0,6.66,5.0,1.0,2023.0,9.0
106,106.0,7.424,5.0,1.0,2023.0,10.0
107,107.0,7.304,5.0,1.0,2023.0,11.0
108,108.0,4.464,5.0,1.0,2023.0,12.0
109,109.0,6.208,5.0,1.0,2023.0,13.0
110,110.0,7.392,5.0,1.0,2023.0,14.0
111,111.0,6.864,5.0,1.0,2023.0,15.0
112,112.0,23.292,5.0,1.0,2023.0,16.0
113,113.0,26.744,5.0,1.0,2023.0,17.0
