,hour,date,month,covariance,value
0,16.0,1.0,1.0,0.7489434544194201,86.9
1,10.0,2.0,1.0,0.7872748262996836,108.56400000000002
2,11.0,2.0,1.0,0.7860544457834442,109.424
3,14.0,2.0,1.0,0.8114435590497849,106.96
4,16.0,2.0,1.0,0.9818787478400048,113.33
5,17.0,2.0,1.0,0.9138473432348996,114.304
6,18.0,2.0,1.0,0.893350647599808,113.036
7,15.0,3.0,1.0,0.7401326000869631,115.74400000000001
8,16.0,3.0,1.0,0.7275370990337997,111.758
9,17.0,3.0,1.0,0.7170927954916202,112.98599999999999
10,18.0,3.0,1.0,0.7143286545145583,111.82400000000001
11,21.0,3.0,1.0,0.7569849276896156,113.66
12,8.0,6.0,1.0,0.7272578086431521,113.958
13,9.0,6.0,1.0,0.7392011218352672,112.154
14,10.0,8.0,1.0,0.8063551119573262,118.12200000000001
15,11.0,8.0,1.0,0.8158288102361722,120.656
16,12.0,8.0,1.0,0.8195171767189275,125.108
17,13.0,8.0,1.0,0.8627585243356477,126.724
18,14.0,8.0,1.0,0.8760904587965761,123.854
19,15.0,8.0,1.0,0.8692553579580742,120.004
20,16.0,8.0,1.0,0.8943691237899425,115.74000000000001
21,17.0,8.0,1.0,0.8425416815730123,116.378
22,18.0,8.0,1.0,0.8354191573515677,119.63
23,11.0,10.0,1.0,0.7030463047967237,109.59400000000001
24,16.0,15.0,1.0,0.7085070585082627,115.828
25,16.0,16.0,1.0,0.8117518033218072,110.82600000000001
26,8.0,20.0,1.0,0.8598253539772925,108.35000000000001
27,9.0,20.0,1.0,0.8074856012407933,104.34400000000001
28,6.0,22.0,1.0,0.7483740872902569,110.67000000000002
29,17.0,23.0,1.0,0.7148292773494854,110.9
30,8.0,27.0,1.0,0.865714081809515,117.274
31,9.0,27.0,1.0,0.800217658172927,119.902
32,7.0,29.0,1.0,0.7155181346430641,116.96800000000002
33,14.0,30.0,1.0,0.7391591530244361,114.89600000000002
34,16.0,30.0,1.0,0.8046564407274323,113.062
35,9.0,19.0,2.0,0.8016839498951827,115.71400000000001
36,10.0,19.0,2.0,0.7529645320061449,113.086
37,11.0,19.0,2.0,0.764688725409103,111.83
38,12.0,19.0,2.0,0.8197443996330283,113.998
39,15.0,19.0,2.0,0.7581358758790621,117.362
40,16.0,19.0,2.0,0.8455586069304659,122.608
41,17.0,19.0,2.0,0.7925609455523923,125.756
42,18.0,19.0,2.0,0.7755152700486975,122.654
43,5.0,20.0,2.0,0.8189874923744908,107.274
44,6.0,20.0,2.0,0.703420822927794,109.62200000000001
45,7.0,20.0,2.0,0.7048416751660764,117.05000000000001
46,14.0,20.0,2.0,0.8509321381303487,111.376
47,16.0,20.0,2.0,0.9270852201519068,119.428
48,17.0,20.0,2.0,0.8486329247600991,113.304
49,18.0,20.0,2.0,0.8523362931147672,111.91199999999999
50,16.0,12.0,3.0,0.8789704193591208,121.66
51,17.0,12.0,3.0,0.8817275151832058,117.78399999999999
52,14.0,13.0,3.0,0.7763174366221937,116.846
53,16.0,13.0,3.0,0.8849425847890846,122.506
54,17.0,13.0,3.0,0.9248310358785894,120.64200000000001
55,18.0,13.0,3.0,0.8893250660778265,124.18800000000002
56,17.0,14.0,3.0,0.7010324733479268,124.64800000000001
57,17.0,18.0,3.0,0.714561250647721,122.856
58,9.0,23.0,6.0,0.8157398420066428,122.54400000000001
59,17.0,9.0,8.0,0.7645398189020651,101.99600000000001
